agegrp,schoolyear,YBC,name,format,manager,League,homeground,day,time,training,sponsor,sponsorURL,sponsor2,sponsorURL2,blurb,results,leagueTable
13,8,1,Under 13 Youth,11-a-side,Claire West,Express Cabs Maidstone Boys Primary League,Gatland Lane 1,Sunday,am,"Maplesden, Wednesday, 19.15 - 20.30 (75 mins)",STL,http://www.stlgroup.co.uk/,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_765450218&selectedRelatedFixtureOption=2&selectedClub=&selectedTeam=576639396&selectedDateCode=all&previousSelectedFixtureGroupKey=&previousSelectedClub=&seasonID=872968788&selectedSeason=872968788,"<div id=""lrep302661981"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=765450218"">click here for U13 D2</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '302661981'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
13,8,2,Under 13 Blues,11-a-side,Arron Spice,Express Cabs Maidstone Boys Primary League,Gatland Lane 1,Sunday,am,"Maplesden, Wednesday, 19.15 - 20.30 (75 mins)",Solve my headache,https://www.solvemyheadache.com/,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_800546600&selectedRelatedFixtureOption=1&selectedClub=&selectedTeam=638014123&selectedDateCode=all&previousSelectedFixtureGroupKey=&previousSelectedClub=&seasonID=872968788&selectedSeason=872968788,"<div id=""lrep510991429"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=800546600"">click here for U13 D4</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '510991429'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
13,8,3,Under 13 Colts,11-a-side,,Express Cabs Maidstone Boys Primary League,,,,,,,,,,,
14,9,1,Under 14 Youth,11-a-side,,Express Cabs Maidstone Boys Primary League,,Sunday,am,,,,,,,,
14,9,2,Under 14 Blues,11-a-side,,Express Cabs Maidstone Boys Primary League,,Sunday,am,,,,,,,,
14,9,3,Under 14 Colts,11-a-side,,Express Cabs Maidstone Boys Primary League,,,,,,,,,,,
15,10,1,Under 15 Youth,11-a-side,Andy Cassie,Express Cabs Maidstone Boys Primary League,Gatland Lane 3,Sunday,pm,"Maplesden, Tuesday, 19.15 - 20.30 (75 mins)",Gallagher Group,http://www.gallagher-group.co.uk/,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_848480069&selectedTeam=&league=920415349&selectedDateCode=all&selectedRelatedFixtureOption=2&divisionseason=682047383,"<div id=""lrep696583849"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=848480069"">click here for U15 D2</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '696583849'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
15,10,2,Under 15 Blues,11-a-side,,Express Cabs Maidstone Boys Primary League,,,,,,,,,,,
15,10,3,Under 15 Colts,11-a-side,Kevin Fowler,Express Cabs Maidstone Boys Primary League,Gatland Lane 3,Sunday,pm,"Maplesden, Thursday, 19.20 - 20.30 (70 mins)",NISA Barming,https://www.maidstonenisalocal.com/,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_848480069&selectedTeam=&league=920415349&selectedDateCode=all&selectedRelatedFixtureOption=2&divisionseason=682047383,"<div id=""lrep29902560"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=848480069"">click here for U15 D2</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '29902560'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
16,11,1,Under 16 Youth,11-a-side,,Maidstone Minor/Junior Football League,,Sunday,pm,,,,,,,,
16,11,2,Under 16 Blues,11-a-side,,Maidstone Minor/Junior Football League,,Sunday,pm,,,,,,,,
16,11,3,Under 16 Colts,11-a-side,,Maidstone Minor/Junior Football League,,Sunday,pm,,,,,,,,
16,11,4,Under 16 Girls,11-a-side,,Kent Girls and Ladies Football league,,Sunday,am,,,,,,,,
18,13,1,Under 18 Youth,11-a-side,Lee Payne,Maidstone Minor/Junior Football League,Barming Heath,Sunday,am,"Maplesden, Wednesday, 20.30 - 21.30 (60 mins)",Innov8ive UK,http://www.innov8iveuk.com/,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_131171094&selectedRelatedFixtureOption=2&selectedClub=&selectedTeam=357013664&selectedDateCode=all&previousSelectedFixtureGroupKey=&previousSelectedClub=&seasonID=129330631&selectedSeason=129330631,"<div id=""lrep840067179"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=131171094"">click here for U18 Div 1</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '840067179'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
18,18,2,Under 18 Blues,11-a-side,Warren Lindley,Maidstone Minor/Junior Football League,Barming Heath,Sunday,pm,"Maplesden, Tuesday, 19.15 - 20.30 (75 mins)",Seymour Van Hire (Home),https://www.seymourhire.co.uk/,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_651930095&selectedRelatedFixtureOption=2&selectedClub=&selectedTeam=501644856&selectedDateCode=all&previousSelectedFixtureGroupKey=&previousSelectedClub=&seasonID=129330631&selectedSeason=129330631,"<div id=""lrep974835362"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=651930095"">click here for U18 Div 2</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '974835362'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
18,13,3,Under 18 Colts,11-a-side,,Maidstone Minor/Junior Football League,,Sunday,am,,,,,,,,
22,,1,Mens Youth,11-a-side,,Express Auto Centre Maidstone and Mid Kent Sunday Football League,Eccles,Sunday,am,,,,,,,,
22,,2,Mens Blues,11-a-side,Trevor Roberts,Express Auto Centre Maidstone and Mid Kent Sunday Football League,Maplesden (3g),Sunday,am,,The Redstart Inn,http://www.redstartpub.co.uk/,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_400246341&selectedRelatedFixtureOption=2&selectedClub=&selectedTeam=958127526&selectedDateCode=all&previousSelectedFixtureGroupKey=1_400246341&previousSelectedClub=&seasonID=143216019&selectedSeason=143216019,"<div id=""lrep105467451"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=400246341"">click here for Division 2</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '105467451'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
22,,3,Mens Colts,11-a-side,Grant Ince,Express Auto Centre Maidstone and Mid Kent Sunday Football League,Maplesden (3g),Sunday,am,,Bar 6,http://www.bar6maidstone.co.uk/,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_400246341&selectedRelatedFixtureOption=2&selectedClub=&selectedTeam=972967977&selectedDateCode=all&previousSelectedFixtureGroupKey=1_400246341&previousSelectedClub=&seasonID=143216019&selectedSeason=143216019,"<div id=""lrep121829387"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=400246341"">click here for Division 2</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '121829387'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
20,,1,Ladies Youth,11-a-side,Vicki King,South East Counties Womens League,Maplesden (3g),Sunday,pm,"Maplesden, Thursday, 20.30 - 21.30 (60 mins)",,,,,,,"<div id=""lrep513423597"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=103777833"">click here for Kent Division 2 West</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '513423597'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
